# ============================================================
# TECHNICAL MACHINES (TMs/TRs/HMs) - Complete Reference
# Based on Pokémon Gen IX (Scarlet/Violet) - 229 TMs
# Source: bulbapedia.bulbagarden.net
# ============================================================

## TM FORMATS BY GENERATION
- Gen I-V: Single-use TMs
- Gen V onward: Infinite-use TMs
- Gen VIII (SwSh): 100 TMs + 100 TRs (TRs are single-use)
- Gen VIII (BDSP): 100 TMs
- Gen IX (SV): 229 TMs (infinite use)
- Legends Z-A: 107 base + 53 Mega Dimension TMs = 160 total
- Cobblemon: Uses Gen IX style with craftable/renewable TMs

## TM MOVE LIST (Gen IX - most relevant for Cobblemon)

### TM001-TM050
- TM001: Take Down (Normal, 90 BP, 85% Acc, Physical)
- TM096: Eerie Impulse (Electric, -, 100% Acc, Status — -2 SpA)
- TM097: Fly (Flying, 90 BP, 95% Acc, Physical — 2-turn)
- TM098: Skill Swap (Psychic, -, -, Status — swap abilities)
- TM099: Iron Head (Steel, 80 BP, 100% Acc, Physical — may flinch)
- TM100: Dragon Dance (Dragon, -, -, Status — +1 Atk, +1 Spe)

### TM101-TM150
- TM101: Power Gem (Rock, 80 BP, 100% Acc, Special)
- TM102: Gunk Shot (Poison, 120 BP, 80% Acc, Physical — may poison)
- TM103: Substitute (Normal, -, -, Status — creates decoy at 25% HP)
- TM104: Iron Defense (Steel, -, -, Status — +2 Def)
- TM105: X-Scissor (Bug, 80 BP, 100% Acc, Physical)
- TM106: Drill Run (Ground, 80 BP, 95% Acc, Physical — high crit)
- TM107: Will-O-Wisp (Fire, -, 85% Acc, Status — burns)
- TM108: Crunch (Dark, 80 BP, 100% Acc, Physical — may -1 Def)
- TM109: Trick (Psychic, -, 100% Acc, Status — swap items)
- TM110: Liquidation (Water, 85 BP, 100% Acc, Physical — may -1 Def)
- TM111: Giga Drain (Grass, 75 BP, 100% Acc, Special — heals 50%)
- TM112: Aura Sphere (Fighting, 80 BP, -, Special — never misses)
- TM113: Tailwind (Flying, -, -, Status — team +2 Spe, 4 turns)
- TM114: Shadow Ball (Ghost, 80 BP, 100% Acc, Special — may -1 SpD)
- TM115: Dragon Pulse (Dragon, 85 BP, 100% Acc, Special)
- TM116: Stealth Rock (Rock, -, -, Status — entry hazard, type-based)
- TM117: Hyper Voice (Normal, 90 BP, 100% Acc, Special — hits all)
- TM118: Heat Wave (Fire, 95 BP, 90% Acc, Special — may burn, hits all)
- TM119: Energy Ball (Grass, 90 BP, 100% Acc, Special — may -1 SpD)
- TM120: Psychic (Psychic, 90 BP, 100% Acc, Special — may -1 SpD)
- TM121: Heavy Slam (Steel, Varies, 100% Acc, Physical — weight-based)
- TM122: Encore (Normal, -, 100% Acc, Status — locks last move 3 turns)
- TM123: Surf (Water, 90 BP, 100% Acc, Special — hits all)
- TM124: Ice Spinner (Ice, 80 BP, 100% Acc, Physical — removes terrain)
- TM125: Flamethrower (Fire, 90 BP, 100% Acc, Special — may burn)
- TM126: Thunderbolt (Electric, 90 BP, 100% Acc, Special — may paralyze)
- TM127: Play Rough (Fairy, 90 BP, 90% Acc, Physical — may -1 Atk)
- TM128: Amnesia (Psychic, -, -, Status — +2 SpD)
- TM129: Calm Mind (Psychic, -, -, Status — +1 SpA, +1 SpD)
- TM130: Helping Hand (Normal, -, -, Status — ally +50% power)
- TM131: Pollen Puff (Bug, 90 BP, 100% Acc, Special — heals ally)
- TM132: Baton Pass (Normal, -, -, Status — switch + pass stats)
- TM133: Earth Power (Ground, 90 BP, 100% Acc, Special — may -1 SpD)
- TM134: Reversal (Fighting, Varies, 100% Acc, Physical — stronger at low HP)
- TM135: Ice Beam (Ice, 90 BP, 100% Acc, Special — may freeze)
- TM136: Electric Terrain (Electric, -, -, Status — 5 turns Electric Terrain)
- TM137: Grassy Terrain (Grass, -, -, Status — 5 turns Grassy Terrain)
- TM138: Psychic Terrain (Psychic, -, -, Status — 5 turns Psychic Terrain)
- TM139: Misty Terrain (Fairy, -, -, Status — 5 turns Misty Terrain)
- TM140: Nasty Plot (Dark, -, -, Status — +2 SpA)
- TM141: Fire Blast (Fire, 110 BP, 85% Acc, Special — may burn)
- TM142: Hydro Pump (Water, 110 BP, 80% Acc, Special)
- TM143: Blizzard (Ice, 110 BP, 70% Acc, Special — may freeze)
- TM144: Fire Pledge (Fire, 80 BP, 100% Acc, Special — combo effects)
- TM145: Water Pledge (Water, 80 BP, 100% Acc, Special — combo effects)
- TM146: Grass Pledge (Grass, 80 BP, 100% Acc, Special — combo effects)
- TM147: Wild Charge (Electric, 90 BP, 100% Acc, Physical — recoil 25%)
- TM148: Sludge Bomb (Poison, 90 BP, 100% Acc, Special — may poison)
- TM149: Earthquake (Ground, 100 BP, 100% Acc, Physical — hits all)
- TM150: Stone Edge (Rock, 100 BP, 80% Acc, Physical — high crit)

### TM151-TM171 (Gen IX base game)
- TM151: Phantom Force (Ghost, 90 BP, 100% Acc, Physical — 2-turn, breaks Protect)
- TM152: Giga Impact (Normal, 150 BP, 90% Acc, Physical — recharge)
- TM153: Blast Burn (Fire, 150 BP, 90% Acc, Special — recharge, starter only)
- TM154: Hydro Cannon (Water, 150 BP, 90% Acc, Special — recharge, starter only)
- TM155: Frenzy Plant (Grass, 150 BP, 90% Acc, Special — recharge, starter only)
- TM156: Outrage (Dragon, 120 BP, 100% Acc, Physical — 2-3 turns, confuse)
- TM157: Overheat (Fire, 130 BP, 90% Acc, Special — -2 SpA)
- TM158: Focus Blast (Fighting, 120 BP, 70% Acc, Special — may -1 SpD)
- TM159: Leaf Storm (Grass, 130 BP, 90% Acc, Special — -2 SpA)
- TM160: Hurricane (Flying, 110 BP, 70% Acc, Special — may confuse)
- TM161: Trick Room (Psychic, -, -, Status — slower moves first, 5 turns)
- TM162: Bug Buzz (Bug, 90 BP, 100% Acc, Special — may -1 SpD)
- TM163: Hyper Beam (Normal, 150 BP, 90% Acc, Special — recharge)
- TM164: Brave Bird (Flying, 120 BP, 100% Acc, Physical — recoil 33%)
- TM165: Flare Blitz (Fire, 120 BP, 100% Acc, Physical — recoil 33%, may burn)
- TM166: Thunder (Electric, 110 BP, 70% Acc, Special — may paralyze)
- TM167: Close Combat (Fighting, 120 BP, 100% Acc, Physical — -1 Def, -1 SpD)
- TM168: Solar Beam (Grass, 120 BP, 100% Acc, Special — 2-turn, no charge in sun)
- TM169: Draco Meteor (Dragon, 130 BP, 90% Acc, Special — -2 SpA)
- TM170: Steel Beam (Steel, 140 BP, 95% Acc, Special — recoil 50% HP)
- TM171: Tera Blast (Normal, 80 BP, 100% Acc, Special — changes type when Terastallized)

### TM172-TM229 (DLC: Teal Mask + Indigo Disk)
- TM172: Roar (Normal, -, -, Status — forces switch)
- TM173: Charge (Electric, -, -, Status — +1 SpD, next Electric move 2x)
- TM174: Haze (Ice, -, -, Status — resets all stat changes)
- TM175: Toxic (Poison, -, 90% Acc, Status — badly poisons)
- TM176: Sand Tomb (Ground, 35 BP, 85% Acc, Physical — traps)
- TM177: Spite (Ghost, -, 100% Acc, Status — -4 PP)
- TM178: Gravity (Psychic, -, -, Status — 5 turns, grounds all)
- TM179: Smack Down (Rock, 50 BP, 100% Acc, Physical — knocks down fliers)
- TM180: Gyro Ball (Steel, Varies, 100% Acc, Physical — slower = stronger)
- TM181: Knock Off (Dark, 65 BP, 100% Acc, Physical — 1.5x if target has item, removes it)
- TM182: Bug Bite (Bug, 60 BP, 100% Acc, Physical — eats berry)
- TM183: Super Fang (Normal, -, 90% Acc, Physical — 50% current HP)
- TM184: Vacuum Wave (Fighting, 40 BP, 100% Acc, Special — +1 priority)
- TM185: Lunge (Bug, 80 BP, 100% Acc, Physical — -1 Atk)
- TM186: Poltergeist (Ghost, 110 BP, 90% Acc, Physical — target must have item)
- TM187: Icicle Spear (Ice, 25 BP, 100% Acc, Physical — 2-5 hits)
- TM188: Scald (Water, 80 BP, 100% Acc, Special — may burn)
- TM189: Heat Crash (Fire, Varies, 100% Acc, Physical — weight-based)
- TM190: Solar Blade (Grass, 125 BP, 100% Acc, Physical — 2-turn, no charge in sun)
- TM191: Uproar (Normal, 90 BP, 100% Acc, Special — prevents sleep, 3 turns)
- TM192: Focus Punch (Fighting, 150 BP, 100% Acc, Physical — fails if hit first)
- TM193: Weather Ball (Normal, 50 BP, 100% Acc, Special — 2x + type in weather)
- TM194: Grassy Glide (Grass, 55 BP, 100% Acc, Physical — +1 priority in Grassy Terrain)
- TM195: Burning Jealousy (Fire, 70 BP, 100% Acc, Special — burns if target boosted)
- TM196: Flip Turn (Water, 60 BP, 100% Acc, Physical — user switches)
- TM197: Dual Wingbeat (Flying, 40 BP, 90% Acc, Physical — 2 hits)
- TM198: Triple Axel (Ice, 20 BP, 90% Acc, Physical — 3 hits, increasing power)
- TM199: Lash Out (Dark, 75 BP, 100% Acc, Physical — 2x if stats lowered)
- TM200: Scale Shot (Dragon, 25 BP, 90% Acc, Physical — 2-5 hits, +Spe -Def)
- TM201: Misty Explosion (Fairy, 100 BP, 100% Acc, Special — user faints, +50% in Misty Terrain)
- TM202: Pain Split (Normal, -, -, Status — averages HP)
- TM203: Psych Up (Normal, -, -, Status — copies stat changes)
- TM204: Double-Edge (Normal, 120 BP, 100% Acc, Physical — recoil 33%)
- TM205: Endeavor (Normal, -, 100% Acc, Physical — reduces to user's HP)
- TM206: Petal Blizzard (Grass, 90 BP, 100% Acc, Physical — hits all)
- TM207: Temper Flare (Fire, 75 BP, 100% Acc, Physical — 2x if last move failed)
- TM208: Whirlpool (Water, 35 BP, 85% Acc, Special — traps)
- TM209: Muddy Water (Water, 90 BP, 85% Acc, Special — may -1 Acc, hits all)
- TM210: Supercell Slam (Electric, 100 BP, 95% Acc, Physical — crash damage if miss)
- TM211: Electroweb (Electric, 55 BP, 95% Acc, Special — -1 Spe)
- TM212: Triple Dive (Water, 30 BP, 95% Acc, Physical — 3 hits)
- TM213: Coaching (Fighting, -, -, Status — +1 Atk, +1 Def to ally)
- TM214: Sludge Wave (Poison, 95 BP, 100% Acc, Special — may poison, hits all)
- TM215: Scorching Sands (Ground, 70 BP, 100% Acc, Special — may burn)
- TM216: Expanding Force (Psychic, 80 BP, 100% Acc, Special — +50% in Psychic Terrain)
- TM217: Future Sight (Psychic, 120 BP, 100% Acc, Special — hits 2 turns later)
- TM218: Power Whip (Grass, 120 BP, 85% Acc, Physical)
- TM219: Fury Cutter (Bug, 40 BP, 95% Acc, Physical — doubles power consecutively)
- TM220: Meteor Beam (Rock, 120 BP, 90% Acc, Special — 2-turn, +1 SpA first)
- TM221: Throat Chop (Dark, 80 BP, 100% Acc, Physical — blocks sound moves 2 turns)
- TM222: Breaking Swipe (Dragon, 60 BP, 100% Acc, Physical — -1 Atk, hits all)
- TM223: Metal Sound (Steel, -, 85% Acc, Status — -2 SpD)
- TM224: Curse (Ghost, -, -, Status — Ghost: lose HP + curse; other: +Atk +Def -Spe)
- TM225: Hard Press (Steel, Varies, 100% Acc, Physical — stronger at high HP)
- TM226: Dragon Cheer (Dragon, -, -, Status — ally +crit +1, Dragon ally +2)
- TM227: Alluring Voice (Fairy, 80 BP, 100% Acc, Special — confuses if target boosted)
- TM228: Psychic Noise (Psychic, 75 BP, 100% Acc, Special — blocks healing)
- TM229: Upper Hand (Fighting, 65 BP, 100% Acc, Physical — +3 priority vs priority moves)

## HMS (Historic - replaced by TMs in modern games)
- Surf: Water, 90 BP, Special (TM123 now)
- Waterfall: Water, 80 BP, Physical (TM077 now)
- Fly: Flying, 90 BP, Physical (TM097 now)
- Strength: Normal, 80 BP, Physical (no TM in Gen IX)
- Rock Smash: Fighting, 40 BP, Physical
- Cut: Normal, 50 BP, Physical
- Flash: Normal, Status (TM in some generations)
- Defog: Flying, Status (TM in BDSP)
- Whirlpool: Water, 35 BP, Special (TM208 now)
- Rock Climb: Normal, 90 BP, Physical
- Dive: Water, 80 BP, Physical

## COBBLEMON TM NOTES
- TMs in Cobblemon are likely craftable or found in structures
- Some TMs may be behind boss battles or raids
- The complete Gen IX TM list is the standard reference
- TM compatibility varies by Pokemon species — ask for specific Pokemon TM compatibility

NOTE: For questions about which TMs a specific Pokemon can learn, this agent can look up individual Pokemon movepools. The TMs listed here are the full Gen IX catalog as a reference.
